Avance,Contratista,Departamento - Ciudad,Estado,Extensión de la Obra,Fecha de Finalización,Fecha de Inicio,Fuente de Financiación,Información Adicional,Inversión,Localidades Beneficiadas,Nombre,Plazo de Ejecución (en meses),Tipo
100%,Consorcio TR - TE,Paraguarí - Quiindy,FINALIZADA,4.20 kilometros,"Lun, 30 Noviembre 2015","Lun, 28 Abril 2014",Fondo Local,"Circunvalación en las ciudades de Paraguarí - Carapeguá - Quiindy y Caapucú
OBRA 3: Circunvalación de la Ciudad de Quiindy",Gs. 12.819.694.498,Quiindy,Circunvalación en las ciudades de Paraguarí - Carapeguá - Quiindy y Caapucú,,Circunvalación
45%,Ingeniería de Topografía S.A.,Ñeembucú - Pilar,EN REPARACIÓN,"133,40 Kms.","Lun, 18 Julio 2022","Lun, 18 Mayo 2015",Fondo Local,"CREMA. Mantenimiento de Carreteras por Índices de Servicios Ruta Nacional N° 4, Tramo: San Ignacio - Pilar",Gs. 291.995.500.000,San Ignacio - Pilar,"Mantenimiento de Carreteras por Índices de Servicios Ruta Nacional N° 4, Tramo: San Ignacio - Pilar",86,Rehabilitación y Mantenimiento de Rutas Pavimentadas (CREMA)
100%,MOPC,Canindeyú - Ybyrarobaná,FINALIZADA,8 metros,"Vie, 19 Junio 2015","Lun, 20 Abril 2015",Fondo Local,"Construcción de Puente de HºAº en el tramo Ruta 10 (km 304) - Asent. Naranjito (Yvyrarovana) sobre el A° Pindo:
Via administrativa se realizaron trabajos de reconstrucción de superestructura de puente mixto (muro de PBC y madera) existente sobre el arroyo Pindo, en el tramo Ruta 10 (km 304) – Asentamiento Naranjito del distrito Yvyrarovana, Dpto. de Canindeyu, con la sustitución del maderámen por Ho Ao, con una longitud de 8m y un ancho de 5,40m. En la obra se utilizaron vigas longitudinales pretensadas, pre-losas y barandas prefabricadas; con vigas de apoyo, vigas trasversales, losas y guardarruedas de hormigón in situ. El estribo existente fue construido entre la Gobernación y el distrito local, la terminación de las obras se complementó con terraplén a cargo del Distrito de Conservación No 14.
Terminado en: junio/2015",Gs. 450.000.000,Asentamiento 16 de Julio - Asentamiento Naranjito,Construcción de Puente de Hormigón Armado,2,Puente de Hormigón Armado
80%,Caraguatay S.A.,Caaguazú - Caaguazú,EN CONSTRUCCIÓN,19.80,"Dom, 29 Enero 2017","Lun, 28 Abril 2014",Fondo Local,Pavimentación tipo empedrado del tramo Nueva Toledo - Vaquería,Gs. 44.071.115.879,Nueva Toledo - Vaquería,Pavimentación tipo empedrado del tramo Nueva Toledo - Vaquería,,Pavimentación Tipo Empedrado
0%,Jonica S.A.,Paraguarí - Paraguarí,EN CONSTRUCCIÓN,"215,00","Lun, 13 Marzo 2017","Mar, 13 Diciembre 2016",Fondo Local,Mejoramiento de Transitabilidad de Caminos No Pavimentados en varios Departamentos de la Región Oriental.,Gs. 1.458.493.848,Paraguarí,Mejoramiento de Transitabilidad de Caminos No Pavimentados en varios Departamentos de la Región Oriental.,,Mejoramiento de transitabilidad de caminos no pavimentados
0%,Construpar S.A.,Alto Paraná - Ciudad del Este,EN CONSTRUCCIÓN,"252,00","Lun, 13 Marzo 2017","Mar, 13 Diciembre 2016",Fondo Local,Mejoramiento de Transitabilidad de Caminos No Pavimentados en varios Departamentos de la Región Oriental.,Gs. 2.197.920.312,Alto Paraná,Mejoramiento de Transitabilidad de Caminos No Pavimentados en varios Departamentos de la Región Oriental.,,Mejoramiento de transitabilidad de caminos no pavimentados
94%,Sotec S.A.,Caaguazú - Caaguazú,EN CONSTRUCCIÓN,11,"Jue, 05 Enero 2017","Sáb, 01 Febrero 2014",Fondo Local,Pavimentación tipo empedrado del tramo Acceso a La Pastora (Ramales 1 y 2),Gs. 20.407.488.952,La Pastora,Pavimentación tipo empedrado del tramo Acceso a La Pastora (Ramales 1 y 2),,Pavimentación Tipo Empedrado
89%,Consorcio de Pavimentación Rural,Caaguazú - Caaguazú,EN CONSTRUCCIÓN,15,"Lun, 24 Octubre 2016","Sáb, 01 Febrero 2014",Fondo Local,"Pavimentación tipo empedrado del tramo Calle 1ra. Línea, tramo Emp. Ruta 7 a Emp. Calle 2da., Acceso Lat. Norte, Sur y Calles Urbanas (Distrito de J.E. Estigarribia)",Gs. 14.593.471.204,J. E. Estigarribia,Pavimentación tipo empedrado del tramo Distrito de J.E. Estigarribia,,Pavimentación Tipo Empedrado
100%,MOPC,Caaguazú - Repatriación,FINALIZADA,"8,00 Mtrs.","Jue, 04 Junio 2015","Lun, 20 Abril 2015",Fondo Local,"Construcción de Puente de HºAº en el tramo Repatriación - 13 Linea, sobre el A° Yhoguy (Conocido también como Arroyo Escalera)
Puente construido vía administrativa por el Departamento de Puentes y O. A., con vigas pretensadas prefabricadas, viga de apoyo, losa y guardarruedas con Ho Ao in situ, sobre muros de piedra bruta colocada.
Longitud= 8,00m Ancho: 5,40m
Terminado en: octubre/2015",Gs. 300.000.000,Repatriación - Mauricio J. Troche,Construcción de Puente de HºAº en el tramo Repatriación - 13 Linea,2,Puente de Hormigón Armado
93%,Aponte Latorre S.A.,San Pedro - Guayaibí,EN CONSTRUCCIÓN,11.30,"Lun, 31 Octubre 2016","Mar, 25 Febrero 2014",Fondo Local,Pavimentación tipo empedrado del tramo Guayaibi - Calle Bertoni,Gs. 17.130.800.877,Guayaibi,Pavimentación tipo empedrado del tramo Guayaibi - Calle Bertoni,,Pavimentación Tipo Empedrado
100%,Concret Mix S.A.,Boquerón - Filadelfia,FINALIZADA,22 kms.,"Mié, 24 Septiembre 2014","Mié, 26 Junio 2013",Fondo Local,Ruta Acceso Loma Plata - Acceso Filadelfia - Ruta N° 9 (Villa Choferes del Chaco) (línea sur),Gs. 87.408.803.491,Loma Plata - Filadelfia,Ruta Acceso Loma Plata - Acceso Filadelfia - Ruta N° 9,,Pavimentación Asfáltica
100%,VIALTEC S.A.,San Pedro - Choré,FINALIZADA,35.50 kms.,"Vie, 30 Enero 2015","Jue, 30 Mayo 2013",BIRF,Rehabilitación y Mejoramiento de Caminos No Pavimentados del Dpto. de San Pedro en el tramo: Lote1: Choré - Colonia Cocuerá - San Pablo,Gs. 24.386.596.912,Choré - San Pablo,Rehabilitación y Mejoramiento de Caminos No Pavimentados del Dpto. de San Pedro,,Ripio / Empedrado
0%,Benito Roggio,San Pedro - Choré,FINALIZADA,25.50,"Mar, 17 Febrero 2015","Lun, 27 Mayo 2013",BIRF,Rehabilitación y Mejoramiento de Caminos No Pavimentados del Dpto. de San Pedro en el tramo: .Lote 2: Choré - Jhugua Rey.,Gs. 20.880.759.061,Choré,Rehabilitación y Mejoramiento de Caminos No Pavimentados del Dpto. de San Pedro,,Ripio / Empedrado
0%,Ecomipa S.A.,San Pedro - San Pedro de Ycuamandyyú,FINALIZADA,29,"Jue, 26 Febrero 2015","Jue, 13 Junio 2013",Fondo Local,Rehabilitación y Mejoramiento de Caminos No Pavimentados del Dpto. de San Pedro en tramo:. Lote 3: Jhugua Rey - Gral. Aquino.,Gs. 22.136.137.244,Choré - San Pablo,Rehabilitación y Mejoramiento de Caminos No Pavimentados del Dpto. de San Pedro,,Ripio / Empedrado
79%,Consorcio Pavimento Humano,Central - San Lorenzo,EN CONSTRUCCIÓN,"35,00 Kms.","Lun, 21 Marzo 2016","Lun, 21 Septiembre 2015",Fondo Local,"Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 3. Lote 1: M.R. Alonso, Limpio, Luque, San Lorenzo.
TRAMO: General Bernardino Caballero, Inicio: Ruta 3, Fin: Ex Caballería
TRAMO: Capitán Hermosilla, Inicio: Ruta Transchaco, Fin: Bernardino Caballero
TRAMO: Gral. Diaz, Inicio: Ruta Transchaco, Fin: Bernardino Caballero
TRAMO: Manuel Britez Burgos - Nanawa - Coronel Martinez, Inicio: Capitán Insfran, Fin: Santa Teresa
TRAMO: Fotografo del Chaco, Inicio: Coronel Martinez, Fin: Gabriel Pellon
TRAMO: República de Colombia, Inicio: Gabriel Pellon, Fin: Capitan Insfran
TRAMO: Guaranies - Gaspar R. De Francia - Estelvina de Aveiro
TRAMO: Calle Libertad desde Britez Borges hasta Mcal. Lopez
TRAMO: Desde Avda. de la Victoria, por Gerardo Pacielo, Dr. Arnaldo Bacigalupo, Benjamin Franklin, 12 de junio hasta Calle San Pedro (Limite Capiata)
TRAMO: Desde Manuel Ortiz Guerrero, por Concordia,Prof. Dr. Victorio Curiel, Agustin Pinedo, hasta Avda. del Agronomo",Gs. 55.905.239.363,"M.R. Alonso, Limpio, Luque, San Lorenzo.",Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 3. Lote 1,6,Pavimentación Asfáltica
92%,Roggio & Hijos S.A.,Central - Fernando de la Mora,EN CONSTRUCCIÓN,"38,05 Kms.","Sáb, 26 Marzo 2016","Lun, 24 Agosto 2015",Fondo Local,"Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 3. Lote 2. Fernando de la Mora.
TRAMO: Desde Tte. Sosa por la Calle O Leary, Tacuari y A Gonzalez hasta Julio C.Franco.
TRAMO: Yatayty Corá Inicia en Avda. Def. del Chaco- Zavalas Cué- Yataity Cora -Nueva Asunción e/ Zabalas Cue y la calle Boquerón desde Nueva Asuncion -Concepción desde Boqueron y Hernandarias.
TRAMO: Julio C. Franco E/ Tte. Sosa y A. González, por A. González,E/ Julio C. Franco y Mcal. López, Guyrá Campana E/- Mcal. López y Arasá, Arasá E/ Guyrá Campana y Yerutí, Yerutí E/ Arasá y Storn, Storn E/ Yerutí y calle Paraguay, Paraguay E/ Storn y Las Residentas.
TRAMO: Por Calle Juan de Salazar, continua por las Calles Eugenio A. Garay, Isla Po'i, 11 de Seiembre, Emiliano R. Fernandez, 5 de abril, Juan de Salazar, Dr. Sosa, Independencia Nacional, Acosta Ñu, Juan deSalazar, Curupayty, Cnel. Franco, Curupayty, Anahi, India, Don Bosco, Jose Viñuales.
TRAMO: Por Juan de Salazar, Inicia en Avda. Madame Lynch hasta Pedro Getto, continua por calle 21 de Septiembre, por Concepción, por Manuel Domínguez, por 10 de Julio, por Rio Yhaguy, por Picuiba hasta Tte. Ettiene, se desvía por Tte. Ettiene desde Rio Yhaguy hasta 6 de Enero, por 6 de Enero
TRAMO: Desde la Calle de la amistad por la Calle Campo Via, Fray Luis de Bolaños, Cnel. Cazal, Ettiene, Saavedra, Colon, Rafael Franco, las Residentas, Pedro Getto, Gral Caballero hasta Madame Lynch
TRAMO: Desde Tte. Sosa, Eugenio A. Garay hasta Santa Teresa; desde Santa Teresa por Juan Carlos Loizaga, 8 de setiembre, Francisco Bogarin hasta Mcal. Lopez, desde Mcal. Lopez por Pedro Getto hasta Mcal. Estigarribia; desde Mcal. Estigarribia por 15 de mayo, Nueva Asuncion, Tte. Rivarola.",Gs. 51.779.998.242,Fernando De La Mora,Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 3. Lote 2,7,Pavimentación Asfáltica sobre Empedrado
100%,Ecomipa S.A.,Central - Guarambaré,FINALIZADA,"46,76 Kms.","Mié, 23 Marzo 2016","Mié, 23 Septiembre 2015",Fondo Local,"Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 3. Lote 4. Capiatá - J.A. Saldivar - Itauguá - Areguá - Ypacaraí - Guarambaré.
TRAMO: Desde Ruta 1 por Carlos M.Gimenez, Adan Ramirez, 1° de Mayo, Martin Tirado, Jose A. Flores, Mcal. Lopez llegando hasta Ruta 2.
TRAMO: Calle Gabriaguez hasta Paso Sana.
TRAMO: Inicia Calle Panchito Lopez desde Ruta 1, continua por Lapacho, Calle 12 de junio hasta calle San Pedro (limite con San Lorenzo).
TRAMO: Avda. San Pedro desde Ruta 1 hasta Barrio Kennedy (Km 20).
TRAMO: Calle 15 de Noviembre desde Rojas Cañada hasta Jose A. Flores.
TRAMO: Calle Jose A. Flores desde 15 de noviembre hasta ramal Ruta 1 Km20- Kennedy continua por Reseda hasta calle San Pedro.
TRAMO: Zona centro a Ruta Ypacarai - Pirayú por (Paso Puente).
TRAMO: Desde el ramal Guarambare - Villeta por la calle Dr. Manuel Dominguez, continua por la Calle Benjamin Aceval.
TRAMO: Intercepcion Ypane - Guarambare desde Acceso Sur hasta el ramal Ypane-Guarambare (Potrerito).
TRAMO: Rojas Cañada entre Ruta 1(km23) y 15 de Noviembre.",Gs. 53.900.000.000,Capiatá - J.A. Saldivar - Itauguá - Areguá - Ypacaraí - Guarambaré.,Pavimentación de tramos alimentadores de la Red Vial Nacional.,6,Pavimentación Asfáltica sobre Empedrado
24,,Caaguazú - R. I. Tres Corrales,EN CONSTRUCCIÓN,Consorcio Itá Piru,"Jue, 06 Agosto 2015",R.I.3 Corrales - Potrero Guayakí,42%,Pavimentación Tipo empedrado Tramo Empalme Ruta 7 (A° Guazú) - R.I.3 Corrales (Obra 10 - Grupo 2).,Fondo Local,"17,02 Kms.",Pavimentación Tipo empedrado Tramo Empalme Ruta 7 (A° Guazú) - R.I.3 Corrales (Obra 10 - Grupo 2),"Mié, 26 Julio 2017",Pavimentación Asfáltica
100%,Firma Tecnología del Sur S.A.,Paraguarí - Sapucai,FINALIZADA,"4,23 Kms.","Vie, 26 Agosto 2016","Jue, 01 Octubre 2015",Fondo Local,Pavimentación Tipo empedrado - Tramo Sapucai - Cerro Roke,Gs. 6.318.169.486,Sapucai,Pavimentación Tipo empedrado - Tramo Sapucai - Cerro Roke,12,Pavimentación Tipo Empedrado
95%,Consorcio Pavimentador Central,Central - Lambaré,EN CONSTRUCCIÓN,"23,45 Kms.","Mar, 07 Junio 2016","Mié, 30 Septiembre 2015",Fondo Local,"Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 3. Lote 3. Lambaré - Villa Elisa - Ñemby - San Antonio.
TRAMO: San Isidro - Cerro Lambare - General René Barrientos, Inicio: Avda Defensores del Chaco, Fin: Avda Peron
TRAMO:Cristobal Colon - Alejo Garcia - Juan de Ayolas - Palacion de Lopez - Koeti, Inicio: Cacique Lambare, Fin: Avda Bruno Guggiari.
TRAMO: Yacare Valija, Inicio: Avda Defensores del Chaco, Fin: Avda Cacique Lambare.
TRAMO: Mauricio Troche, Inicio: Avda Defensores del Chaco, Fin: Avda Cacique Lambare
TRAMO: Antonio Tomas Yegros (8 de Marzo), Inicio: Avda Defensores del Chaco, Fin: Avda del Pueblo
TRAMO: Francia - Paso Medin, Inicio: Teniente Americo Pico, Fin: Von Poleski
TRAMO: Tulipanes - Rosedal, Inicio: Defensores del Chaco, Fin: Von Poleski
TRAMO: Pratt Gill, Inicio: Acceso Sur, Fin: San Lorenzo
TRAMO: 1º de Marzo, Inicio: Pratt Gill, Fin: Acceso Sur
TRAMO: 10 de Agosto, Inicio: Santa Rosa, Fin: Ytororo.",Gs. 30.869.569.455,Lambaré - Villa Elisa - Ñemby - San Antonio.,Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 3. Lote 3. Dpto Central,9,Pavimentación Asfáltica sobre Empedrado
100%,T&C S.A.,Central - Luque,FINALIZADA,"7,64 Kms.","Jue, 23 Julio 2015","Lun, 08 Junio 2015",Fondo Local,Rehabilitación y Recapado: Bacheo y Restitución de Galibo del Camino Viejo a la Ciudad de Luque y de la Avda. Sudamericana.,Gs. 9.480.000.000,Luque - Asunción,Bacheo y Restitucion de Galibo del Camino Viejo a la Ciudad de Luque y de la Avda. Sudamericana,2,Rehabilitación y Mantenimiento de Rutas Pavimentadas
100%,TECNOEDIL S.A.,Central - Luque,FINALIZADA,"5,50 Kms.","Dom, 09 Agosto 2015","Sáb, 20 Junio 2015",Fondo Local,Rehabilitación de la Avda. Autopista Silvio Pettirossi en el tramo: Empalme Avda. Madame Lynch - Aeropuerto Silvio Pettirossi.,Gs. 16.176.384.425,Asunción - Luque,Rehabilitacion de la Avda. Autopista Silvio Pettirossi en el tramo : Empalme Avda. Madame Lynch - Aeropuerto Silvio Pettirossi.,2,Rehabilitación y Mantenimiento de Rutas Pavimentadas
60%,Miguel Ángel Chávez,San Pedro - Capiibary,EN CONSTRUCCIÓN,"82,00 Mtrs.","Vie, 01 Septiembre 2017","Mié, 02 Marzo 2016",CAF,"Llamado MOPC 01 /2015 - Construccion de Puentes de Hº Aº en los Departamentos de San Pedro, Canindeyu y Amambay
LOTE 2",Gs. 6.244.097.162,"Departamentos de San Pedro, Canindeyú y Amambay","Construccion de Puentes de Hº Aº en los Departamentos de San Pedro, Canindeyu y Amambay",18,Puente de Hormigón Armado
62%,Miguel Ángel Chávez,Amambay - Zanja Pytá,EN CONSTRUCCIÓN,"110,00 Mtrs.","Mar, 01 Agosto 2017","Mar, 01 Marzo 2016",CAF,"Llamado MOPC 01 /2015 - Construccion de Puentes de Hº Aº en los Departamentos de San Pedro, Canindeyu y Amambay
LOTE 3",Gs. 11.644.456.917,Departamentos de Canindeyú y Amambay,"Construccion de Puentes de Hº Aº en los Departamentos de San Pedro, Canindeyú y Amambay",18,Puente de Hormigón Armado
100%,MOPC,Caaguazú - Repatriación,FINALIZADA,3 metros,"Jue, 10 Diciembre 2015","Mié, 21 Octubre 2015",Fondo Local,"Construcción de alcantarilla celular, en el tramo Repatriación - 13 Linea, sobre el A° Escalera 3.
Alcantarilla Celular Doble de 1,5 x 1,5. De 18,00 mts. cada hilera.",Gs. 200.000.000,Repatriación,Construcción de Puente de HºAº en el tramo Repatriación - 13 Linea sobre el A° Escalera 3,2,Construcción de Alcantarillas
100%,MOPC,Caaguazú - Repatriación,FINALIZADA,6 metros,"Sáb, 10 Octubre 2015","Lun, 31 Agosto 2015",Fondo Local,"Obra via administrativa por el Departamento de Puentes y O. A. Se sustituyó la superestructura de madera existente por Ho Ao, previa adecuación de los muros de piedra existentes en ambas cabeceras- Se utilizaron viga-losas prefabricadas.
Long. 6,00m Ancho=5m
Terminado en: octrubre 2015 31/08/2015 10/10/2015",Gs. 200.000.000,Repatriación - M. J. Troche,Construcción de Puente de HºAº en el tramo Repatriación - 13 Linea sobre el A° Escalera 2,2,Puente de Hormigón Armado
100%,Consorcio Tecnoedil S.A. - Heisecke - Ocho A,Asunción - Asunción,FINALIZADA,400 metros,,,Fondo Local,"Este viaducto, el vano central tiene 32 metros. El puente cuenta con 400 metros de extensión, dos carriles por sentido, bien señalizados, y con barandas de seguridad.
La inversión que demanda esta obra alcanza los G. 15.000 millones.
Las rampas del viaducto son de placas prefabricadas, que ahorro tiempo de las construcciones.",,Asunción,Viaducto Avda. Dr. Semidei,30,Paso a Desnivel
100%,Consorcio Tecnoedil S.A. - Ocho A S.A.,Asunción - Asunción,FINALIZADA,340 Mtrs.,"Mar, 25 Febrero 2014","Jue, 25 Octubre 2012",Fondo Local,"Llamado: Licitación Pública MOPC Nº 74/2012.
Localidad: Asunción.
Empresa contratista: Consorcio Tecnoedil S.A, Ocho A S.A
Monto de contrato inicial: G 27.697.535.158
Monto de contrato modificado: G 32.059.354.157 (IVA incluido)
Fondo de financiación: Fondo local
Plazo del contrato: 18 meses
Plazo del contrato modificado: 17 meses (según CM Nº02 aprobado en fecha 06 de diciembre de 2013 y nota DV Nº 796/13).
Fecha de inicio: 25 de octubre de 2012
Fecha de terminación modificada: 25 de febrero del 2014",Gs. 32.059.354.157,Asunción - Mariano Roque Alonso - Limpio,Túnel en la intersección de Avda. Dr. Semidei y Ruta Transchaco,18,Paso a Desnivel
400 Mtrs.,Llamado MOPC: Nº 74/2012 Lic. Pública Nacional,Asunción - Asunción,FINALIZADA,Orden de inicio: 19/11/2012,Plazo contractual: 540 días,Monto modificado: G 31.584.189.217,Asunción - Fernando de la Mora - San Lorenzo - Luque,"Construcción de paso a desnivel en la ciudad de Asunción, intersección Avda. Madame Lynch y Avda. Santa Teresa.
Contratista: TR Construcciones S.A. (Ing. Teodoro Riveros Construcc.)","Lun, 19 Noviembre 2012",Monto del contrato: G 26.326.687.861 (c/IVA),"Construcción de paso a desnivel en la ciudad de Asunción, intersección Avda. Madame Lynch y Avda. Santa Teresa.",TR Construcciones S.A.,Paso a Desnivel
0%,Consorcio Tava'i,Caazapá - San Juan Nepomuceno,EN CONSTRUCCIÓN,"84,66 kilometros",,"Lun, 17 Abril 2017",BID,"El proyecto busca optimizar la red vial nacional mediante inversiones en rehabilitación y mantenimiento que otorguen adecuadas condiciones de transitabilidad de la carretera, que da acceso de manera directa a los distritos de San Juan Nepomuceno, Ava’i , Tava’i y San Rafael del Paraná. También a las localidades intermedias como Santo Domingo, San Carlos, Enramadita, Caazapami y Tembiaporenda. Y, de manera colateral a los distritos de Naranjal (Incluye Raúl Peña) y Tomás Romero Pereira.",Gs. 362.966.484.046,San Juan Nepomuceno - Ava’i - Tava’i - San Rafael del Paraná,Pavimentación del tramo San Juan Nepomuceno - Empalme Ruta N°6,30,Pavimentación Asfáltica
100%,Caldetec Ingeniería S.A.,Ñeembucú - Pilar,FINALIZADA,40.000 m3,"Jue, 01 Septiembre 2016","Mié, 01 Junio 2016",Bonos del Tesoro,"CONTRATO S.G. MINISTRO N° 144/2016 de fecha 11/05/2016.
Obra de Reparación del Muro de Contención de la Ciudad de Pilar.",Gs. 4.841.519.255,Pilar,Reparación del Muro de Contención de la Ciudad de Pilar,3,Muro de Contención
7,CONVENIO MODIFICATORIO Nº 1 (CONTRATO S.G. MINISTRO Nº 497/2016) al CONTRATO S.G. MINISTRO Nº 62/2016 de fecha 12 de diciembre de 2016. CONTRATACIÓN DE FIRMAS CONSTRUCTORAS PARA LAS ACCIONES INMEDIATAS PARA LA ESTABILIZACIÓN DE LA DEFENSA COSTERA DE LA CIUDAD DE ALBERDI. AD REFERÉNDUM AL PGN 2016.,Ñeembucú - Alberdi,FINALIZADA,Consorcio Tape Rory,"Vie, 15 Abril 2016",Alberdi,100%,"CONTRATO S.G. MINISTRO N°62/2016.
CONTRATACIÓN DE FIRMAS CONSTRUCTORAS PARA LAS ACCIONES INMEDIATAS PARA LA ESTABILIZACIÓN DE LA DEFENSA COSTERA DE LA CIUDAD DE ALBERDI. AD REFERÉNDUM AL PGN 2016.",Bonos del Tesoro,,Estabilización de la defensa costera de la Ciudad de Albedi,"Mar, 01 Noviembre 2016",Muro de Contención
,"- Contrato S.G. Ministro Nº 37/2016 de fecha 03/03/16, Trabajo de apuntalamiento y posterior Restauración de la Cúpula y Bovedas Principales del Panteón Nacional de los Héroes, con fondo local de Gs. 6.250.814.498 - Empresa: BARRAIL HNOS S.A. Avance: 96,50% - Convenio Modificatorio -ampliacion de plazo y monto 1.207.068.739 Gs. firmado",Asunción - Asunción,EN CONSTRUCCIÓN,Barrail Hermanos S.A.,"Mié, 07 Enero 2015",Asunción,96%,"CONTRATO S.G. MINISTRO N°361/2014 de fecha 15/12/2014, Licitación Pública Nacional para los Trabajos de Restauración en el Panteón Nacional de los Héroes.",Fondo Local,,Trabajos de Restauración en el Panteón Nacional de los Héroes,,Restauración
100%,CORSAN CORVIAM CONSTRUCCION S.A.,Misiones - San Juan Bautista,FINALIZADA,,"Lun, 10 Octubre 2016","Mié, 13 Abril 2016",Fondo Local,"CONTRATO S.G. MINISTRO N° 271/2014.
La Revitalización y Puesta en Valor del Casco Histórico de San Juan Bautista Misiones - Segunda Etapa",Gs. 3.554.587.426,San Juan Bautista,Revitalización y Puesta en Valor del Casco Histórico de San Juan Bautista Misiones - Segunda Etapa,7,Revitalización y Puesta en Valor
100%,Alberto Sosa Lezcano,Paraguarí - Sapucai,FINALIZADA,,"Vie, 03 Julio 2015","Mar, 03 Febrero 2015",Fondo Local,"CONTRATO S.G. MINISTRO N°255/2014.
Trabajos de Mantenimiento Reparación y Construcciones Varias en la Parroquia Sagrado Corazón de Jesús de la Ciudad de Sapucai - Dpto de Paraguari.",Gs. 818.319.312,Sapucai,"Trabajos de Mantenimiento, Reparación y Construcciones Varias en la Parroquia Sagrado Corazón de Jesús",5,"Mantenimiento, Reparación y Construcción"
8,"- CONVENIO MODIFICARTORIO N°1: al CONTRATO S.G. MINISTRO N° 256/2014, Restauración de la Iglesia San Miguel Arcángel, fondo LOCAL Gs. 689.068.505, plazo 91 días, ejecutado 100%.",Misiones - San Miguel,FINALIZADA,S&S CONTRUCCIONES S.A.,"Vie, 02 Enero 2015",San Miguel,100%,"CONTRATO S.G. MINISTRO N° 256/2014
Restauración de la Iglesia San Miguel Arcángel",Fondo Local,,Restauración de la Iglesia San Miguel Arcángel,"Mar, 01 Septiembre 2015",Pavimentación Asfáltica
100%,Ing. Alfredo Lezcano,Paraguarí - Sapucai,FINALIZADA,,"Sáb, 23 Enero 2016","Lun, 27 Julio 2015",Fondo Local,"CONTRATO S.G. MINISTRO N° 148/2015.
Construcción de Ciclovía de la Ciudad de Sapucai -Departamento De Paraguarí",Gs. 2.235.500.000,Sapucai,Construcción de Ciclovía de la Ciudad de Sapucai,6,Construcción de Ciclovía
100%,Virgen de las Mercedes Emprendimientos de Fausto Encina Cabral,Central - Ypacaraí,FINALIZADA,,"Lun, 01 Febrero 2016","Mié, 05 Agosto 2015",Fondo Local,"CONTRATO S.G. MINISTRO N°144/2015.
Trabajos de Construccion de Cercado Perimetral y caseta de guardia en la cantera de Ypacaraí",Gs. 231.790.500,Ypacaraí,Trabajos de Construcción de Cercado Perimetral y caseta de guardia en la cantera de Ypacaraí,6,"Mantenimiento, Reparación y Construcción"
18,"CONVENIO MODIFICATORIO N° 2 ( CONTRATO S.G. MINISTRO N°280/2016) AL CONTRATO S.G. MINISTRO N° 591/2012. Construcción del Aeropuerto de la Ciudad de Fuerte Olimpo - Ad Referéndum a la Aprobación del Plan Financiero, con fondo local Gs. 4.065.324.249, finalizada al 100%",Alto Paraguay - Fuerte Olimpo,FINALIZADA,Consorcio ROTEC,"Vie, 23 Octubre 2015",Fuerte Olimpo,100%,"CONTRATO S.G. MINISTRO N° 591/12.
Construcción del Aeropuerto de la Ciudad de Fuerte Olimpo - Ad Referéndum a la Aprobación del Plan Financiero -CONVENIO MODIFICATORIO N°1 (CONTRATO SG MINISTRO N° 253/15)",Fondo Local,800 metros de largo y 23 metros de ancho,Construcción del Aeropuerto de la Ciudad de Fuerte Olimpo,,"Mantenimiento, Reparación y Construcción"
100%,COPESA S.A.,Central - Capiatá,FINALIZADA,,,"Lun, 01 Agosto 2016",Fondo Local,"Contrato S.G. Ministro Nº 29/2016 de fecha 02/03/16.
Construcción del Pórtico en el Parque Industrial Mariscal Francisco Solano López.",Gs. 1.196.519.792,Capiata,Construcción del Pórtico en el Parque Industrial Mariscal Francisco Solano López,8,"Mantenimiento, Reparación y Construcción"
